l2,l1
pelo corto,short hair
en cama,in bed
en cama conmigo,in bed with me
me levanté de la cama,I got out of bed
me callé de la cama,I fell out of bed
cáncer de piel,skin cancer
color de piel,skin colo
nuestra propia piel,our own skin
piel blanca,white skin
piel negra,black skin
trabajamos codo a codo,we work elbow to elbow
trabajamos hombro a hombro,we work shoulder to shoulder
brazo derecho,right arm
brazo izquierdo,left arm
brazo robótico,robotic arm
bajo el brazo,under the arm
torcerle el brazo,twist his arm
brazo armado,armed arm
me tomó de el brazo,took me by the arm
perdió un brazo,he lost an arm
ojo izquierdo,left eye
ojo derecho,right eye
ojo humano,human eye
perdió un ojo,he lost an eye
ojo seco,dry eye
ojo crítico,critical eye
ojo por ojo,eye for eye
meterle el dedo en el ojo,put the finger in his eye
cubrir la boca y la nariz,to cover the mouth and the nose
salir por los ojos y la nariz,to go out through the eyes and the nose
una fractura en la nariz,a fracture in the nose
cubrirse la nariz y la boca, to cover the nose and the mouth
una nariz roja,a red nose
sangrado de nariz,nose bleed
una nariz grande,a big nose
nariz rota,broken nose
boca cerrada,closed mouth
boca llena,full mouth
boca pequeña,small mouth
boca seca,dry mouth
boca grande,big mouth
boca sucia,dirty mouth
nariz electrónica,electronic nose
oreja izquierda,left ear
oreja derecha,right ear
oreja humana,human ear
oreja roja,red ear
cara bonita,pretty face
cara dura,hard face
cara conocida,known face
cara sonriente,smiling face
cara triste,sad face
cara roja,red face
nubes negras,dark clouds
intervalos nubosos,cloudy intervals
intervalos de sol y nubes,intervals of sun and clouds
servicios basados en la nube,services based in the cloud
computación en la nube,computation in the cloud
libros en sus estantes,books on their shelves
En los supermercados los estantes están vacíos,In the supermarkets the shelves are empty.
En los supermercados hay estantes enteros dedicados,In the supermarkets there are entire shelves dedicated
ni el frío ni la nieve,not the cold nor the snow
el frío extremo y la nieve,the extreme cold and the snow
"con mucho frío, lluvias, y nieve","with much cold, rain, and snow"
Es pesada esa mochila?,Is that backpack heavy?
Mantener una mochila de emergencia,To keep an emergency backpack
mochila llena de ropa,backpack full of clothes
