l1,l2
possible,posible
probable,probable
it is,es
It is possible,Es posible.
It is probable,Es probable.
It is terible,Es terible.
It is acceptable,Es aceptable.
for me,para mí
for your grace,para usted
It is for me.,Es para mí.
It is not.,No es.
It is not for your grace.,No es para usted.
It is not for your grace; it is for me.,No es para usted; es para mí.
It is not possible for me.,No es posible para mí.
It is possible for your grace.,Es posible para usted.
It is acceptable for me.,Es aceptable para mí.
